"Key_SS_Org","Fld_Rep_Cd","Org_Lvl_cd","Org_Lvl_Nm"
"4687659","TAMGAL-4","OB","Outbound"
"1508104","8ELIB-4","IB","Inbound"
"4309188","EMEAVS-2","IB","Inbound"
"4168272","01429VD-6","IB","Inbound"
"937515","MIMRAL-0","IB","Inbound"
"4280275","PNJIB-9","Oth","Other"
"4420432","ROCMHO-8","OB","Outbound"
"4280288","MHANAM-4","IB","Inbound"
"3855378","IOAIB-8","IB","Inbound"
"4939589","UEMIB-6","IB","Inbound"
"3790401","BTPIB-5","IB","Inbound"
"3790429","SIMAHK-0","OB","Outbound"
"4120086","RYAIB-8","PP","Branch Office"
"2829577","NEJTAV-1","OB","Outbound"
"3703473","AHCLIW-6","OB","Outbound"
"2536185","94329VD-7","IB","Inbound"
"3790468","LAMLER-4","OB","Outbound"
"1178160","BMGIB-2","IB","Inbound"
"2832437","KIMIER-6","IB","Inbound"
"3703467","LAMNUS-3","OB","Outbound"
"3790246","KIMGAR-9","IB","Inbound"
"3790631","AOMVAS-6","OB","Outbound"
"3951662","EMEAVS-8","IB","Inbound"
"4939587","SACLOZ-2","Oth","Other"
"4098411","09129-3","IB","Inbound"
"3790635","NEHAJK-3","OB","Outbound"
"2750929","NITHAT-0","IB","Inbound"
"3789840","ACRTSX-2","OB","Outbound"
"504698","AIDSAK-4","IB","Inbound"
"4644559","37329VD-5","IB","Inbound"
"4885789","ELAERA-7","OB","Outbound"
"3790288","NNAROM-5","IB","Inbound"
"4270650","AHPHCS-6","IB","Inbound"
"4254898","KIMIER-0","Oth","Other"
"4919335","JAMCAB-8","IB","Inbound"
"4254892","LESRAB-7","OB","Outbound"
"4215675","00429VD-1","IB","Inbound"
"509489","AOMHOJ-3","IB","Inbound"
"4417214","TAMGAL-0","OB","Outbound"
"516914","MMEOLB-9","IB","Inbound"
"4254894","XMARAN-2","IB","Inbound"
"514181","NASREB-6","IB","Inbound"
"3789960","NEKATS-2","OB","Outbound"
"3790281","74229VD-6","IB","Inbound"
"3061533","RIMTTO-0","IB","Inbound"
"3707055","SOJNOV-4","IB","Inbound"
"4644562","EXAROF-0","IB","Inbound"
"516902","NEJAKS-0","IB","Inbound"
"4885793","ELADAM-8","OB","Outbound"
"4254909","ADAHOJ-5","OB","Outbound"
"3939180","VOTFOL-2","IB","Inbound"
"3790693","CADIB-2","IB","Inbound"
"3452068","ASIHEB-6","IB","Inbound"
"4574989","BERTOV-4","IB","Inbound"
"2033701","LUJHCS-4","IB","Inbound"
