"KEY_POLICY","EXT_REFR","VALID_FROM","VALID_TO","SALES_DATE","CANCEL_DATE","PAYMENT_STATUS","COMMISSION_RANK","COMMISSION","RAW_CLAWBACK","CLAWBACK"
"260825647","PO0054084970","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","1",147.36,0,0
"260825715","PO0054087250","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","2",164.16,0,0
"260825604","PO0054085820","2024-02-01 00:00:00.000","2025-02-01 00:00:00.000","2024-01-02",,"Paid","3",937.92,0,0
"260826024","PO0054083060","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","4",176.4,0,0
"260826320","PO0054061150","2024-01-02 07:27:18.000","2024-07-24 00:00:00.000","2024-01-02","2024-07-23","Paid","5",162,-27,0
"260825529","PO0054077120","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","6",741.84,0,0
"260825921","PO0054076540","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","7",670.08,0,0
"260825659","PO0054084210","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02","2024-01-08","Paid","8",472.8,433.4,433.4
"260825559","PO0054086530","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","9",1275.6,0,0
"260826420","PO0054085540","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","10",235.08,0,0
"260826440","PO0054086430","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02","2024-05-30","Paid","11",413.88,241.43,241.43
"260825543","PO0054082240","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","12",320.52,0,0
"260825714","PO0054084940","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","13",147.36,0,0
"260826402","PO0054089330","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","14",266.4,0,0
"260825951","PO0054076570","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","15",409.68,0,0
"260826421","PO0054081470","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","16",359.16,0,0
"260825726","PO0054083040","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","17",194.52,0,0
"260826151","PO0054076580","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","18",279.96,0,0
"260825819","PO0054081490","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","19",365.28,0,0
"260825744","PO0054086480","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02","2024-09-14","Paid","20",525.96,131.49,131.49
"260826167","PO0054083010","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","21",367.32,0,0
"260826045","PO0054082850","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02","2024-07-01","Paid","22",394.08,164.2,164.2
"260825576","PO0054078760","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","23",282,0,0
"260826177","PO0054082260","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","24",225.72,0,0
"260825691","PO0054083370","2023-12-14 00:00:00.000","2024-12-01 00:00:00.000","2024-01-02",,"Paid","25",815.88,0,0
"260826318","PO0054076650","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","26",617.52,0,0
"260826017","PO0054081980","2024-01-02 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","27",243.6,0,0
"260825866","PO0054078000","2024-01-02 00:00:00.000","2025-01-02 00:00:00.000","2024-01-02",,"Paid","28",359.64,0,0
"260826211","PO0054081010","2024-01-03 00:00:00.000","2025-01-01 00:00:00.000","2024-01-02",,"Paid","29",381.48,0,0
